Time,Pressure
0,209.59
1,210.88
2,210.65
3,213.8
4,207.97
5,206.11
6,205.96
7,206.72
8,206.64
9,208.26
10,209.17
11,208.43
12,207.53
13,205.79
14,203.49
15,204.25
16,206.43
17,207.39
18,209.81
19,210.29
20,209.33
21,211.78
22,213.96
23,212.79
24,212.96
25,213.47
26,214.56
27,216.24
28,215.92
29,215.97
30,217.4
31,219.76
32,222.45
33,219.76
34,222.22
35,224.62
36,224.34
37,223.79
38,224.04
39,226.77
40,226.92
41,225.42
42,224.38
43,224.34
44,225.13
45,225.57
46,226.58
47,231.69
48,232.54
49,233.19
50,236.55
51,234.67
52,235.78
53,235.6
54,236.54
55,233.34
56,235.33
57,234.72
58,237.3
59,238.97
60,238.9
61,235.14
62,235.71
63,232.47
64,228.69
65,228.63
66,233.52
67,233.75
68,236.44
69,235.97
70,237.28
71,237.73
72,242.22
73,243.03
74,242.38
75,244.74
76,242.42
77,241.75
78,242.02
79,242.29
80,243.08
81,240.51
82,235.52
83,235.16
84,234.79
85,237.73
86,237.24
87,236.08
88,237.13
89,237.85
90,237.58
91,236.41
92,237.54
93,234.43
94,232.76
95,233.2
96,236.11
97,235.45
98,240.12
99,241.35
100,244.75
101,246.63
102,247.98
103,247.35
104,245.04
105,245.51
106,243.94
107,245.65
108,245.67
109,239.96
110,239.58
111,241.13
112,241.49
113,245.73
114,246.13
115,244.35
116,244.99
117,244.06
118,247.58
119,245.26
120,247.03
121,248.93
122,248.74
123,249.6
124,250.84
125,252.04
126,252.7
127,251.79
128,244.05
129,241.59
130,242.82
131,243.01
132,242.22
133,238.11
134,233.66
135,235.01
136,236.07
137,236.36
138,236.24
139,238.18
140,238.67
141,237.95
142,240.22
143,236.01
144,234.55
145,236.59
146,236.12
147,234.91
148,235.99
149,237.03
150,236.84
151,237.04
152,236.88
153,240.68
154,243.34
155,245.67
156,246.25
157,247.15
158,247.38
159,246.51
160,249.77
161,249.67
162,250.19
163,247.81
164,252.84
165,253.3
166,252.84
167,252.93
168,248.52
169,250.08
170,253.83
171,250.47
172,248.14
173,247.67
174,247.06
175,235.18
176,230.67
177,231.94
178,231.72
179,231.68
180,232.31
181,232.21
182,234.93
183,235.67
184,236.28
185,231.83
186,232.23
187,229.91
188,231.32
189,233.6
190,233.92
191,233.71
192,234.78
193,234.41
194,236.68
195,235.85
196,235.48
197,235.91
198,235.37
199,238.8
200,239.53
201,238.84
202,235.97
203,235.88
204,236.26
205,239.28
206,238.26
207,238.77
208,239.26
209,240.94
210,243.71
211,243.98
212,245.8
213,246.2
214,246.58
215,245.87
216,245.77
217,246.13
218,247.08
219,246.64
220,243.02
221,244.5
222,243.21
223,236.78
224,237.66
225,242.05
226,245.86
227,247.45
228,248.17
229,248.77
230,249.22
231,249.05
232,254
233,253.85
234,253.04
235,251.17
236,251.16
237,249.28
238,250.96
239,248.17
240,247.35
241,248.21
242,250.04
243,247.56
244,246.78
245,249.73
246,248.75
247,246.34
248,246.75
249,246.92
250,244.67
251,243.37
252,242.17
253,246.45
254,252.19
255,252.78
256,255.33
257,257.28
258,258.73
259,260.3
260,259.95
261,262.64
262,265.49
263,266.28
264,269.34
265,269.04
266,267.84
267,273.91
268,270.1
269,269.61
270,273.75
271,275.4
272,274.24
273,274.08
274,276.45
275,275.99
276,279.64
277,281.16
278,280.04
279,278.16
280,275.07
281,277.54
282,275.62
283,279.7
284,285.49
285,285.42
286,285.57
287,285.48
288,282.38
289,282.88
290,284
291,282.96
292,284.2
293,283
294,284.12
295,288.62
296,290.52
297,290.66
298,288.3
299,290.86
300,290.31
301,291.22
302,289.89
303,288.23
304,292.47
305,292.78
306,294.08
307,298.17
308,301.16
309,301.64
310,300.38
311,300.93
312,296.13
313,289.2
314,291.7
315,292.39
316,293.63
317,300.41
318,301.95
319,296.69
320,297.26
321,292.86
322,292.49
323,285.62
324,279.16
325,284.44
326,286.91
327,286.09
328,293.07
329,287.19
330,286.82
331,281.52
332,281.83
333,282.51
334,284.57
335,288.36
336,288.03
337,289.36
338,295.34
339,295.47
340,294.71
341,293.37
342,291.57
343,293.3
344,293.98
345,294.24
346,287.43
347,286.65
348,279.62
349,278.21
350,280.17
351,282.16
352,289.11
353,288.73
354,290.76
355,290.1
356,289.83
357,288.46
358,293.47
359,295.09
360,293.45
361,296.72
362,297.28
363,297.47
364,298.73
365,301.62
366,303.14
367,304.76
368,304.81
369,305.69
370,306.97
371,309.65
372,308.43
373,306.86
374,308.96
375,307.16
376,307.9
377,304
378,302.94
379,305.63
380,304.92
381,307.4
382,308.29
383,307.52
384,308.37
385,307.63
386,310.68
387,310.42
388,312.7
389,314.59
390,311.39
391,308.55
392,308.47
393,307.81
394,309.27
395,310.65
396,312.33
397,315.65
398,318.05
399,318.66
400,317.57
401,316.23
402,318.45
403,322.09
404,323
405,328
406,333.33
407,332.39
408,334.65
409,333.99
410,334.11
411,329.25
412,329.83
413,334.84
414,335.9
415,333.33
416,336.77
417,334.57
418,331.38
419,327.04
420,329.8
421,323.4
422,321.68
423,320.21
424,316.7
425,313.56
426,313.92
427,317.13
428,321.98
429,323.08
430,317.74
431,314.86
432,314.93
433,314.86
434,310.54
435,319.5
436,321.19
437,319.72
438,320.16
439,323.2
440,321.69
441,321.83
442,327.33
443,328.07
444,328.08
445,319.22
446,318.52
447,314.16
448,311.07
449,309.39
450,314.52
451,305.23
452,298.08
453,282.7
454,224.84
455,236.83
456,258.38
457,248.25
458,248.22
459,227.67
460,233.19
461,233.28
462,244.77
463,251.79
464,255.75
465,250.82
466,248.96
467,254.48
468,250.41
469,243.17
470,239
471,241.9
472,248.52
473,245.64
474,246.76
475,243.04
476,245.55
477,240.05
478,242
479,242.99
480,246.39
481,244.1
482,240.34
483,230.3
484,232
485,233.45
486,225.21
487,223.92
488,228.76
489,234.91
490,238.89
491,233.57
492,235.32
493,242.19
494,242.8
495,248.08
496,242.98
497,249.16
498,249.54
499,249.95
500,253.16
501,252.02
502,245.57
503,244.59
504,247.86
505,247.08
506,255.94
507,258.63
508,258.89
509,261.07
510,243.4
511,247.49
512,245.42
513,245.81
514,245.88
515,252.05
516,251.88
517,249.32
518,242.63
519,243.14
520,246.5
521,252.17
522,249.57
523,249.38
524,253.29
525,257.07
526,255.04
527,255.57
528,252.21
529,252.21
530,250.96
531,249.1
532,251.72
533,256.66
534,255.95
535,257.63
536,259.83
537,259.21
538,257.91
539,261.61
540,265.64
541,265.02
542,264.43
543,261.58
544,262.46
545,267.82
546,267.22
547,267.98
548,267.88
549,267.3
550,267.38
551,269.43
552,269.06
553,263.84
554,264.94
555,266.37
556,266.13
557,268.65
558,271.22
559,271.12
560,268.74
561,268.84
562,268.91
563,263.35
564,258.51
565,258.06
566,260.07
567,258.07
568,258.89
569,256.09
570,258.51
571,265.49
572,266.16
573,269.43
574,270.16
575,271.37
576,271.57
577,259.75
578,259.77
579,259.21
580,257.92
581,256.13
582,256.42
583,260.14
584,262.46
585,263.93
586,263.8
587,262.61
588,261.33
589,261.56
590,263
591,260.32
592,258.79
593,257.48
594,256.54
595,257.62
596,253.31
597,253.85
598,256.78
599,258.71
600,255.39
601,251.35
602,252.57
603,253.02
604,250.83
605,253.51
606,253.76
607,254.63
608,253.42
609,262.16
610,266.69
611,265.33
612,266.45
613,267.05
614,265.17
615,271.52
616,270.2
617,271.26
618,271.43
619,274.3
620,274.45
621,269.77
622,270.68
623,268.94
624,271.67
625,275.66
626,274.82
627,273.78
628,269.06
629,272.31
630,270.98
631,273.5
632,271.78
633,275.81
634,272.02
635,271.78
636,270.02
637,270.55
638,267.85
639,269.32
640,270.26
641,272.05
642,270.51
643,268.47
644,270
645,266.66
646,263.5
647,264.68
648,265.19
649,262.5
650,266.02
651,272.02
652,272.21
653,272.06
654,272.98
655,271.93
656,271.15
657,269.98
658,266.49
659,261.9
660,262.75
661,262.55
662,258.69
663,260.56
664,260.77
665,261.03
666,260.24
667,256.98
668,257.09
669,261.13
670,259.18
671,259.68
672,262.33
673,262.51
674,261.52
675,258.35
676,264.48
677,265.59
678,265.87
679,265.88
680,266.84
681,266.47
682,267.43
683,269.31
684,268.13
685,270.65
686,268.82
687,269.73
688,270.16
689,269.18
690,269.76
691,268.88
692,268.26
693,269.08
694,272.59
695,271.91
696,271.38
697,270.62
698,271.86
699,272.39
700,278.07
701,278.24
702,277.93
703,273.98
704,275.22
705,275.5
706,276.41
707,279.38
708,276.97
709,282.88
710,283.66
711,282.28
712,282.38
713,281.38
714,277.28
715,278.53
716,278.97
717,279.06
718,279.06
719,279.2
720,276.31
721,273.93
722,275.15
723,273.33
724,273.69
725,267.92
726,267.72
727,268.34
728,263.82
729,264.6
730,266.47
731,266.22
732,267.21
733,269
734,267.23
735,268.64
736,270.91
737,273.7
738,272.49
